time,rpm,timing_c1,engine_load,speed,maf,throttle,intake_air_temp,o2_sensor_voltage,o2_sensor_voltage2
1035.0,2372,23.0,40.4,108,25.45,20.7,8,0.710,0.625
1035.9,2363,23.3,40.3,108,24.92,20.4,8,0.815,0.575
1036.8,2351,24.0,40.0,107,24.91,20.4,8,0.751,0.517
1037.7,2328,24.2,40.0,107,25.05,20.4,8,0.610,0.415
1038.6,2329,24.5,40.0,106,25.63,20.4,8,0.547,0.399
1039.5,2324,24.5,42.5,106,26.84,20.8,8,0.465,0.365
1040.4,2323,24.7,44.4,106,28.83,22.0,8,0.663,0.348
1041.3,2320,25.5,44.7,105,28.04,21.8,8,0.682,0.329
1042.2,2321,25.3,44.7,105,27.27,21.6,7,0.180,0.310
1043.1,2323,25.0,44.7,106,28.52,21.8,7,0.258,0.306
1044.0,2315,25.0,44.7,106,28.43,21.9,7,0.390,0.295
1044.9,2316,24.9,44.6,105,28.13,21.6,7,0.620,0.291
1045.8,2317,24.5,43.9,107,27.85,21.6,7,0.828,0.285
1046.7,2319,24.5,43.8,108,27.44,21.6,7,0.845,0.288
1047.6,2321,24.5,43.5,105,27.12,21.4,7,0.668,0.291
1048.5,2323,26.3,46.0,105,27.64,21.2,7,0.135,0.295
1049.4,2325,27.7,49.8,106,30.93,22.3,7,0.390,0.298
1050.3,2331,24.0,42.7,106,29.47,22.7,7,0.860,0.305
1051.2,2331,24.1,42.6,107,25.97,20.8,7,0.556,0.305
1052.1,2325,25.0,38.8,106,25.41,20.4,7,0.257,0.305
1053.0,2322,25.1,38.9,106,24.58,19.6,7,0.215,0.322
1053.9,2312,25.5,39.6,105,25.16,20.0,7,0.215,0.340
1054.8,2310,25.3,39.6,105,25.89,20.8,7,0.220,0.340
1055.7,2306,24.5,40.0,107,25.81,20.7,7,0.272,0.340
1056.6,2303,24.5,40.3,107,25.71,20.4,7,0.675,0.350
1057.5,2294,24.5,42.7,106,26.26,20.7,7,0.687,0.353
1058.4,2294,24.7,43.1,105,26.95,21.2,7,0.755,0.395
1059.3,2293,25.0,44.7,104,27.95,22.0,7,0.612,0.393
1060.2,2296,25.5,45.5,104,28.19,22.1,7,0.305,0.380
1061.1,2298,26.1,46.8,103,29.01,22.4,7,0.537,0.391
1062.0,2302,26.5,48.2,104,30.02,22.8,7,0.747,0.404
1062.9,2309,26.5,49.5,105,31.75,23.9,8,0.830,0.385
1063.8,2321,26.5,56.1,104,33.91,25.0,8,0.824,0.385
1064.7,2336,26.7,56.1,105,35.83,26.7,7,0.780,0.415
1065.6,2354,27.0,56.1,107,35.51,26.7,7,0.784,0.421
1066.5,2375,27.5,55.7,107,35.34,26.5,7,0.786,0.435
1067.4,2382,27.8,54.9,107,34.77,25.5,7,0.535,0.430
1068.3,2395,29.0,49.4,108,32.38,24.5,7,0.566,0.425
1069.2,2392,28.5,47.6,109,29.07,22.4,7,0.850,0.505
1070.1,2386,27.0,35.3,108,25.58,21.1,7,0.832,0.505
1071.0,2375,26.8,34.5,108,22.33,19.2,7,0.715,0.478
1071.9,2359,26.5,32.2,108,20.39,18.8,7,0.723,0.450
1072.8,2349,26.5,33.7,108,21.03,18.5,7,0.745,0.405
1073.7,2339,26.5,36.9,107,23.84,20.0,7,0.774,0.431
1074.6,2340,27.2,43.2,107,25.89,20.4,7,0.830,0.510
1075.5,2342,27.8,52.9,107,32.69,23.1,7,0.822,0.521
1076.4,2344,24.5,47.8,107,31.08,22.7,7,0.810,0.545
1077.3,2341,24.6,42.0,106,26.16,20.8,7,0.741,0.514
1078.2,2329,25.0,40.7,106,25.73,20.4,7,0.643,0.465
1079.1,2324,24.8,39.8,105,24.72,19.2,7,0.176,0.425
1080.0,2307,24.0,43.5,105,25.38,19.5,7,0.175,0.370
1080.9,2310,24.4,43.5,105,26.66,20.4,7,0.160,0.353
1081.8,2314,27.5,54.1,105,29.02,21.1,7,0.179,0.330
1082.7,2318,27.2,53.2,105,33.44,23.1,7,0.830,0.338
1083.6,2324,26.5,47.1,105,33.31,23.8,7,0.713,0.348
1084.5,2334,26.3,50.2,105,33.21,25.1,7,0.150,0.415
1085.4,2346,26.0,57.6,105,34.79,25.5,7,0.342,0.427
1086.3,2357,27.0,54.8,105,35.13,26.0,7,0.800,0.480
1087.2,2367,28.0,50.6,106,36.52,27.5,7,0.765,0.463
1088.1,2382,28.0,43.9,107,30.81,25.6,7,0.720,0.425
1089.0,2377,27.8,44.5,108,19.00,17.6,7,0.760,0.509
1089.9,2356,26.5,51.8,107,25.38,20.3,7,0.761,0.615
1090.8,2361,26.5,51.6,107,33.16,25.5,7,0.770,0.595
1091.7,2371,26.5,49.8,107,31.39,24.5,7,0.779,0.595
1092.6,2366,26.0,48.2,107,29.14,22.4,7,0.860,0.525
1093.5,2356,24.5,35.7,107,26.29,21.2,7,0.852,0.524
1094.4,2344,24.4,37.2,107,22.58,18.8,7,0.780,0.390
1095.3,2324,24.0,45.1,106,27.72,21.4,7,0.734,0.390
1096.2,2329,24.6,46.6,106,34.92,26.7,7,0.335,0.466
1097.1,2337,26.5,55.7,106,34.76,26.7,7,0.411,0.530
1098.0,2345,26.9,53.2,106,33.94,26.4,7,0.720,0.455
1098.9,2352,27.5,48.2,106,29.64,21.2,7,0.735,0.447
1099.8,2340,24.5,46.6,106,28.95,21.2,7,0.760,0.425
1100.7,2340,24.5,44.3,106,26.52,20.8,7,0.580,0.402
1101.6,2337,24.5,44.8,106,26.70,20.8,7,0.379,0.365
1102.5,2331,25.1,39.9,107,27.00,20.8,7,0.335,0.334
1103.4,2323,25.9,27.5,106,22.66,20.3,7,0.492,0.295
1104.3,2308,22.0,35.7,105,23.15,20.1,7,0.728,0.250
1105.2,2303,22.6,42.6,104,26.00,20.4,7,0.770,0.247
1106.1,2296,24.0,46.7,104,27.02,20.9,7,0.777,0.245
1107.0,2297,25.0,48.2,104,28.12,21.6,7,0.805,0.245
1107.9,2298,26.5,51.8,105,31.42,22.6,7,0.797,0.255
1108.8,2306,25.8,47.2,105,31.28,23.5,7,0.780,0.290
1109.7,2307,25.0,38.4,105,30.56,23.1,7,0.731,0.340
1110.6,2305,28.0,43.8,105,30.83,23.1,7,0.635,0.490
1111.5,2309,28.1,50.6,104,31.85,23.5,7,0.722,0.499
1112.4,2321,28.5,51.4,105,32.16,23.8,7,0.821,0.515
1113.3,2329,28.4,51.5,105,32.64,24.7,7,0.830,0.509
1114.2,2342,28.0,51.8,106,31.99,24.1,7,0.773,0.491
1115.1,2343,27.2,49.1,106,30.82,23.3,7,0.635,0.425
1116.0,2346,26.2,45.8,106,28.72,22.0,7,0.723,0.427
1116.9,2350,24.5,40.0,106,26.85,21.3,7,0.778,0.430
1117.8,2344,24.4,40.5,106,24.79,20.0,7,0.635,0.465
1118.7,2334,24.0,43.1,107,27.17,20.7,7,0.668,0.462
1119.6,2334,24.7,44.2,107,27.35,21.6,7,0.765,0.435
1120.5,2334,26.0,46.7,105,30.41,22.4,7,0.792,0.424
1121.4,2340,26.7,47.6,106,30.35,23.1,7,0.840,0.390
1122.3,2341,27.3,49.0,107,30.10,23.1,7,0.681,0.402
1123.2,2341,24.5,45.7,107,29.23,22.6,7,0.460,0.425
1124.1,2340,24.5,42.0,108,27.00,20.8,7,0.655,0.433
1125.0,2332,24.5,41.2,107,26.67,20.8,7,0.828,0.445
1125.9,2331,24.7,42.1,107,26.57,20.8,7,0.815,0.430
1126.8,2330,25.0,44.3,106,28.03,22.0,7,0.678,0.428
1127.7,2331,25.0,44.3,106,28.11,22.0,7,0.430,0.420
1128.6,2332,25.0,44.3,106,28.40,21.6,7,0.553,0.423
1129.5,2336,24.7,44.3,106,28.22,21.6,7,0.740,0.430
1130.4,2336,24.5,44.3,105,27.45,21.6,7,0.665,0.425
1131.3,2333,25.0,44.0,106,27.74,21.6,7,0.550,0.420
1132.2,2330,24.8,43.8,106,28.06,21.6,7,0.345,0.420
1133.1,2327,24.5,43.5,107,27.93,21.2,7,0.494,0.436
1134.0,2328,24.5,42.5,107,27.41,21.1,7,0.740,0.480
1134.9,2326,24.6,41.2,106,25.97,20.8,7,0.451,0.457
1135.8,2318,25.0,40.4,105,25.28,20.6,7,0.326,0.429
1136.7,2314,24.8,40.3,105,24.54,20.4,7,0.725,0.410
1137.6,2308,24.5,40.0,105,25.31,20.2,7,0.747,0.405
1138.5,2296,24.8,40.2,105,25.64,20.3,7,0.800,0.385
1139.4,2296,25.1,40.4,105,26.66,21.6,7,0.820,0.401
1140.3,2292,26.0,46.3,105,27.39,21.8,7,0.837,0.430
1141.2,2292,25.6,45.9,104,28.96,22.4,7,0.795,0.425
1142.1,2288,24.0,42.7,104,27.32,21.9,7,0.799,0.423
1143.0,2280,24.0,42.9,104,25.98,21.2,7,0.815,0.465
1143.9,2269,24.0,43.5,104,26.62,21.2,7,0.827,0.459
1144.8,2250,24.0,43.5,103,26.58,21.2,7,0.850,0.435
1145.7,2248,24.1,43.5,102,26.33,21.2,7,0.833,0.430
1146.6,2233,27.5,48.6,102,28.49,22.2,7,0.806,0.420
1147.5,2233,27.1,52.8,102,32.12,24.7,7,0.710,0.399
1148.4,2232,26.0,54.9,101,33.60,25.5,7,0.736,0.390
1149.3,2239,24.3,58.3,101,34.34,25.5,7,0.805,0.415
1150.2,2246,22.0,64.7,101,40.14,29.4,7,0.808,0.390
1151.1,2268,21.3,64.1,101,40.20,32.4,7,0.815,0.270
1152.0,2271,20.5,63.1,102,40.40,31.8,7,0.739,0.279
1152.9,2291,22.0,61.3,102,39.42,31.3,7,0.625,0.300
1153.8,2292,22.2,58.8,103,35.24,26.3,7,0.742,0.454
1154.7,2294,26.0,55.8,103,33.73,25.5,7,0.847,0.710
1155.6,2291,25.9,52.9,104,31.55,23.9,7,0.650,0.696
1156.5,2286,25.5,51.0,105,28.96,22.6,7,0.646,0.669
1157.4,2264,25.0,43.8,104,27.50,21.1,7,0.635,0.595
1158.3,2262,24.5,32.5,103,19.94,18.0,7,0.689,0.512
1159.2,2239,24.5,32.1,103,19.74,17.9,7,0.759,0.350
1160.1,2227,24.5,31.6,102,19.14,17.6,7,0.285,0.324
1161.0,2205,24.5,30.2,101,18.83,17.6,7,0.355,0.295
1161.9,2199,24.0,30.2,101,18.35,17.6,7,0.850,0.311
1162.8,2189,22.5,30.6,100,18.15,17.5,7,0.853,0.326
1163.7,2183,23.0,30.2,100,17.86,17.3,7,0.865,0.340
1164.6,2175,24.0,29.0,99,16.95,17.3,7,0.693,0.344
1165.5,2173,22.9,33.8,99,18.47,17.7,7,0.280,0.370
1166.4,2176,21.5,42.7,99,25.02,20.8,7,0.510,0.462
1167.3,2200,21.5,42.0,100,25.21,20.8,7,0.830,0.660
1168.2,2204,21.6,41.2,101,25.75,20.8,7,0.837,0.644
1169.1,2214,22.5,41.8,101,25.70,20.7,7,0.840,0.615
1170.0,2221,22.7,42.3,100,25.57,20.4,7,0.805,0.580
1170.9,2235,23.5,41.6,101,25.69,20.5,7,0.807,0.544
1171.8,2243,23.6,42.0,101,25.86,20.8,7,0.820,0.490
1172.7,2254,24.0,43.9,104,28.41,21.4,7,0.666,0.484
1173.6,2275,24.8,47.6,104,29.07,22.1,7,0.195,0.440
1174.5,2306,26.0,56.9,104,35.08,27.1,7,0.443,0.440
1175.4,2406,24.0,62.0,104,39.00,31.2,7,0.805,0.440
1176.3,2415,23.7,66.3,105,45.99,44.3,7,0.830,0.340
1177.2,2434,22.5,66.3,108,45.35,41.9,7,0.821,0.230
1178.1,2460,22.9,65.4,111,44.47,36.9,7,0.760,0.340
1179.0,2500,24.0,62.0,113,44.12,35.5,7,0.778,0.439
1179.9,2525,24.2,61.4,113,43.71,33.7,7,0.830,0.525
1180.8,2550,24.7,60.4,114,42.95,32.5,7,0.840,0.551
1181.7,2578,26.5,58.0,115,41.92,31.9,7,0.855,0.615
1182.6,2578,26.4,57.8,116,39.67,29.0,7,0.818,0.624
1183.5,2575,25.0,51.4,116,36.59,26.6,7,0.786,0.640
1184.4,2565,26.5,46.3,117,31.92,20.8,7,0.880,0.671
1185.3,2546,30.5,14.1,117,26.08,19.9,7,0.835,0.691
1186.2,2505,28.4,21.5,116,19.97,18.4,7,0.690,0.670
1187.1,2462,25.0,40.4,112,31.15,20.7,7,0.727,0.683
1188.0,2452,26.0,43.5,112,31.50,23.5,7,0.840,0.740
1188.9,2441,27.5,50.6,112,34.15,24.6,7,0.618,0.728
1189.8,2418,26.7,51.0,112,34.09,25.4,7,0.195,0.690
1190.7,2417,26.0,51.8,110,33.66,23.9,7,0.454,0.667
1191.6,2394,26.0,50.0,110,32.86,23.7,7,0.790,0.524
1192.5,2395,26.0,45.9,110,29.39,22.0,7,0.741,0.524
1193.4,2394,25.9,45.9,110,29.41,22.0,7,0.640,0.525
1194.3,2382,24.5,43.3,109,28.17,21.8,7,0.585,0.525
1195.2,2374,25.1,42.5,109,26.28,21.2,7,0.185,0.471
1196.1,2362,26.5,45.9,108,24.42,20.5,7,0.191,0.430
1197.0,2344,26.1,43.9,108,24.45,19.6,7,0.210,0.430
1197.9,2345,25.5,38.8,107,24.84,19.8,7,0.209,0.433
1198.8,2339,25.3,39.0,107,24.85,20.0,7,0.205,0.450
1199.7,2333,25.0,39.6,105,24.84,20.0,7,0.392,0.459
1200.6,2318,25.5,38.3,105,25.12,20.1,7,0.780,0.485
1201.5,2318,25.9,36.1,106,25.96,20.8,7,0.525,0.454
1202.4,2312,24.5,39.4,106,26.21,20.8,7,0.205,0.400
1203.3,2313,24.5,42.6,106,26.76,20.8,7,0.508,0.408
1204.2,2313,24.5,40.8,106,26.71,20.9,7,0.768,0.420
1205.1,2304,23.0,34.4,106,25.34,21.2,7,0.595,0.439
1206.0,2287,19.0,7.5,103,4.58,16.4,7,0.467,0.413
1206.9,2263,20.1,16.9,103,6.08,10.6,7,0.020,0.095
1207.8,2235,22.0,41.6,102,29.64,17.5,7,0.087,0.105
1208.7,2258,23.2,48.8,102,31.03,23.8,7,0.210,0.140
1209.6,2272,24.0,55.8,102,34.75,26.7,7,0.485,0.143
1210.5,2298,24.0,56.1,104,34.85,26.7,7,0.562,0.147
1211.4,2323,24.4,56.0,104,34.88,26.7,7,0.800,0.160
1212.3,2348,25.0,55.7,106,34.99,25.5,7,0.809,0.195
1213.2,2376,26.0,51.2,107,33.67,25.1,7,0.825,0.310
1214.1,2379,25.9,46.3,108,29.91,22.4,7,0.691,0.333
1215.0,2392,25.0,45.1,109,27.24,21.4,7,0.591,0.376
1215.9,2390,25.5,43.9,110,24.41,19.6,7,0.830,0.475
1216.8,2388,26.5,39.6,109,28.47,21.0,7,0.739,0.480
1217.7,2391,27.5,43.6,109,29.05,22.5,7,0.530,0.500
1218.6,2393,28.3,50.2,107,32.69,23.9,7,0.439,0.504
1219.5,2395,24.5,44.2,108,29.92,23.2,7,0.336,0.510
1220.4,2396,24.8,38.9,109,22.53,19.6,7,0.145,0.479
1221.3,2396,26.0,44.3,109,25.54,20.1,7,0.282,0.451
1222.2,2395,26.0,42.7,109,28.13,20.8,7,0.790,0.465
1223.1,2393,26.0,38.0,110,23.45,18.8,7,0.786,0.472
1224.0,2380,27.0,33.9,110,22.83,16.5,7,0.775,0.525
1224.9,2366,28.5,24.7,109,17.81,17.3,7,0.743,0.509
1225.8,2350,26.3,27.9,108,18.85,18.2,7,0.690,0.460
1226.7,2352,24.0,33.3,107,25.34,20.4,7,0.705,0.467
1227.6,2358,23.5,36.1,107,25.46,20.4,7,0.725,0.480
1228.5,2359,23.6,39.6,106,25.82,20.4,7,0.772,0.460
1229.4,2358,25.0,44.0,106,27.53,21.0,7,0.835,0.425
1230.3,2362,24.9,48.5,107,31.35,23.5,7,0.807,0.408
1231.2,2368,24.5,46.3,107,30.56,23.4,7,0.751,0.385
1232.1,2372,25.3,46.7,108,29.36,23.1,7,0.240,0.376
1233.0,2379,27.5,49.0,108,30.98,23.5,7,0.392,0.370
1233.9,2381,27.7,49.0,108,32.45,24.0,7,0.830,0.370
1234.8,2384,28.0,49.0,108,33.24,24.7,7,0.619,0.375
1235.7,2395,28.0,52.2,108,34.14,25.0,7,0.255,0.390
1236.6,2401,28.0,55.3,108,36.35,27.1,7,0.516,0.423
1237.5,2416,28.0,54.9,109,36.46,27.1,7,0.705,0.470
1238.4,2421,28.2,54.2,109,36.17,27.1,7,0.485,0.465
1239.3,2429,28.5,51.8,110,31.20,24.7,7,0.575,0.482
1240.2,2444,29.3,51.4,110,32.05,24.7,7,0.775,0.560
1241.1,2445,29.7,51.0,110,35.43,24.3,7,0.784,0.555
1242.0,2443,26.5,51.0,110,34.39,24.5,7,0.794,0.545
1242.9,2444,26.3,50.6,110,32.31,25.1,7,0.785,0.535
1243.8,2443,25.5,44.7,111,33.01,25.1,7,0.785,0.520
1244.7,2446,25.4,44.4,112,34.00,25.1,7,0.581,0.488
1245.6,2450,25.0,42.4,110,30.69,24.0,7,0.575,0.464
1246.5,2444,25.6,43.5,110,30.68,22.7,7,0.845,0.485
1247.4,2438,26.5,46.3,111,30.45,23.5,7,0.662,0.478
1248.3,2442,28.0,45.8,111,30.50,23.4,7,0.275,0.450
1249.2,2440,29.1,45.0,110,30.67,22.7,7,0.489,0.471
1250.1,2421,26.5,31.0,110,27.23,22.4,7,0.760,0.515
1251.0,2419,26.0,31.1,111,18.91,21.2,7,0.399,0.494
1251.9,2407,23.0,43.5,111,21.87,20.6,7,0.091,0.468
1252.8,2396,23.9,41.0,110,26.81,18.8,7,0.100,0.515
1253.7,2379,26.5,27.8,108,26.95,19.7,7,0.187,0.515
1254.6,2374,25.4,29.5,108,27.11,21.2,7,0.845,0.470
1255.5,2367,23.0,36.9,109,26.35,20.8,7,0.836,0.483
1256.4,2354,23.0,39.1,108,25.93,20.4,7,0.810,0.565
1257.3,2344,23.1,42.5,105,27.14,19.6,7,0.537,0.528
1258.2,2340,24.0,47.5,106,27.66,19.9,7,0.243,0.474
1259.1,2341,24.5,45.6,106,28.05,20.4,7,0.175,0.400
1260.0,2343,25.5,38.8,107,24.89,20.2,7,0.366,0.404
1260.9,2345,25.2,40.2,107,25.37,20.1,7,0.870,0.430
1261.8,2349,25.0,42.4,106,28.20,22.7,7,0.850,0.456
1262.7,2354,25.0,41.4,106,27.99,22.4,7,0.768,0.495
1263.6,2355,24.8,41.2,106,27.63,21.6,7,0.270,0.475
1264.5,2356,24.5,43.1,108,27.99,22.0,7,0.331,0.468
1265.4,2368,24.5,43.8,108,28.32,22.7,7,0.570,0.420
1266.3,2370,24.5,45.1,107,28.37,21.6,7,0.421,0.429
1267.2,2375,24.0,44.0,107,27.89,21.5,7,0.125,0.460
1268.1,2374,24.1,42.7,108,26.63,20.8,7,0.138,0.468
1269.0,2367,25.0,42.1,108,26.57,21.1,7,0.154,0.480
1269.9,2367,25.7,42.1,108,26.43,22.0,7,0.185,0.430
1270.8,2368,28.0,44.3,107,29.16,22.8,7,0.252,0.430
1271.7,2368,27.2,43.7,107,32.53,24.3,7,0.735,0.435
1272.6,2369,25.0,40.4,107,29.02,22.8,7,0.658,0.435
1273.5,2368,24.9,40.5,107,25.23,20.4,7,0.150,0.435
1274.4,2367,24.5,41.2,109,26.25,20.8,7,0.142,0.424
1275.3,2361,26.0,45.9,109,28.11,21.5,7,0.120,0.360
1276.2,2364,28.0,54.5,108,36.09,27.1,7,0.255,0.344
1277.1,2378,27.0,55.7,108,36.13,27.2,7,0.430,0.310
1278.0,2382,27.4,55.6,107,36.19,27.5,7,0.605,0.310
1278.9,2391,28.5,50.6,109,34.81,26.3,7,0.707,0.310
1279.8,2391,28.6,50.5,109,33.05,24.3,7,0.330,0.310
1280.7,2392,29.0,49.4,109,30.34,24.6,7,0.302,0.309
1281.6,2384,27.0,47.0,109,27.85,25.1,7,0.180,0.300
1282.5,2375,24.5,41.6,108,31.60,24.7,7,0.424,0.320
1283.4,2361,25.3,44.4,108,32.17,24.5,7,0.840,0.365
1284.3,2362,26.1,48.6,108,34.14,25.9,7,0.521,0.348
1285.2,2361,28.0,49.4,108,34.24,26.0,7,0.148,0.320
1286.1,2364,27.5,51.3,108,34.44,26.3,7,0.260,0.313
1287.0,2369,25.5,60.8,107,35.96,27.1,7,0.302,0.305
1287.9,2375,25.6,60.5,107,37.82,28.6,7,0.650,0.318
1288.8,2386,26.0,58.8,108,36.86,26.8,7,0.617,0.351
1289.7,2388,27.0,56.8,108,36.11,24.4,7,0.495,0.545
1290.6,2390,28.0,54.1,108,36.02,26.7,7,0.644,0.540
1291.5,2395,28.0,52.5,109,34.42,25.9,7,0.830,0.530
1292.4,2395,27.7,51.7,110,31.72,23.5,7,0.479,0.513
1293.3,2392,26.5,44.3,108,28.46,22.3,7,0.204,0.496
1294.2,2382,26.5,43.6,108,26.55,20.4,7,0.140,0.510
1295.1,2372,26.5,41.6,108,33.03,24.3,7,0.353,0.496
1296.0,2367,27.5,46.1,108,33.27,24.3,7,0.815,0.440
1296.9,2367,28.5,53.1,108,34.35,23.9,7,0.798,0.412
1297.8,2365,28.5,50.6,107,33.90,24.2,7,0.704,0.371
1298.7,2368,27.9,52.6,107,33.30,24.7,7,0.270,0.320
1299.6,2373,26.5,60.4,108,36.59,26.7,7,0.333,0.319
1300.5,2386,27.0,59.3,108,39.84,29.4,7,0.620,0.305
1301.4,2402,28.0,54.9,109,36.11,27.9,7,0.692,0.313
1302.3,2412,27.0,51.8,109,35.54,26.6,7,0.850,0.345
1303.2,2414,26.1,46.7,110,33.52,25.5,7,0.782,0.364
1304.1,2419,28.5,50.8,110,34.84,25.8,7,0.685,0.400
1305.0,2423,28.5,56.1,109,38.54,27.1,7,0.748,0.430
1305.9,2437,28.5,50.3,109,35.69,26.0,7,0.813,0.480
1306.8,2431,28.2,43.7,110,29.15,22.4,7,0.845,0.505
1307.7,2419,27.5,32.9,109,25.20,20.9,7,0.830,0.534
1308.6,2371,26.9,34.7,109,21.07,18.8,7,0.795,0.580
1309.5,2368,26.0,38.8,109,16.83,16.4,7,0.546,0.576
1310.4,2303,26.0,35.2,108,16.83,14.1,7,0.065,0.565
1311.3,2298,26.0,29.4,106,16.79,14.9,7,0.091,0.551
1312.2,2247,28.0,25.7,105,17.38,15.1,7,0.140,0.515
1313.1,2245,28.0,19.6,102,20.09,18.8,7,0.420,0.484
1314.0,2226,21.0,31.1,102,19.49,18.6,7,0.819,0.415
1314.9,2222,21.0,42.8,101,17.41,17.3,7,0.085,0.510
1315.8,2208,21.0,43.5,101,21.56,18.7,7,0.156,0.635
1316.7,2208,21.2,43.2,101,27.06,21.6,7,0.725,0.576
1317.6,2207,22.0,41.2,100,24.33,20.9,7,0.690,0.512
1318.5,2202,22.4,40.9,100,24.36,20.0,7,0.545,0.380
1319.4,2197,23.0,40.0,100,25.28,21.2,7,0.641,0.367
1320.3,2205,24.5,43.7,100,26.27,22.1,7,0.795,0.335
1321.2,2208,25.2,47.5,100,28.63,22.4,7,0.550,0.326
1322.1,2215,24.0,42.7,99,27.33,21.8,7,0.403,0.315
1323.0,2211,24.1,41.3,99,25.25,20.4,7,0.825,0.365
1323.9,2205,24.5,34.9,100,22.87,19.6,7,0.723,0.361
1324.8,2195,24.3,36.1,100,20.38,18.4,7,0.270,0.315
1325.7,2184,24.0,39.2,100,26.68,21.3,7,0.458,0.343
1326.6,2200,25.3,40.7,100,29.37,23.6,7,0.815,0.455
1327.5,2197,26.2,42.7,101,22.31,18.0,7,0.439,0.425
1328.4,2187,24.0,42.5,100,23.37,18.7,7,0.112,0.385
1329.3,2186,24.0,42.6,99,25.29,20.4,7,0.845,0.358
1330.2,2183,24.0,43.9,99,25.60,20.1,7,0.791,0.331
1331.1,2181,24.2,45.9,99,26.02,19.6,7,0.430,0.370
1332.0,2180,24.5,51.8,100,30.24,23.0,7,0.541,0.364
1332.9,2205,26.0,50.5,100,31.52,26.0,7,0.830,0.340
1333.8,2206,27.3,48.6,100,24.56,19.2,7,0.513,0.360
1334.7,2206,24.5,41.4,100,23.74,19.3,7,0.266,0.395
1335.6,2200,24.5,36.0,100,22.32,19.6,7,0.780,0.470
1336.5,2191,24.5,32.5,100,17.06,18.4,7,0.775,0.467
1337.4,2171,24.2,31.0,100,20.45,18.3,7,0.765,0.455
1338.3,2165,24.1,32.4,99,28.81,23.9,7,0.814,0.450
1339.2,2173,24.5,49.0,99,28.40,22.6,7,0.840,0.467
1340.1,2172,24.5,40.6,99,27.57,21.3,7,0.840,0.545
1341.0,2174,24.4,27.9,98,25.38,22.0,7,0.830,0.475
1341.9,2176,24.0,47.1,99,25.70,21.7,7,0.830,0.375
1342.8,2178,24.2,47.3,100,26.39,20.8,7,0.830,0.405
1343.7,2183,25.0,50.2,99,27.88,21.6,7,0.813,0.428
1344.6,2190,25.1,50.2,99,29.93,23.1,7,0.710,0.315
1345.5,2201,25.5,50.2,99,29.97,22.9,7,0.721,0.315
1346.4,2204,25.0,49.3,99,30.02,22.4,7,0.815,0.310
1347.3,2208,23.5,42.4,100,31.08,23.7,7,0.785,0.306
1348.2,2224,24.5,46.7,100,32.18,25.9,7,0.585,0.350
